space, t=0.000000, t=0.100000, t=0.200000, t=0.300000, t=0.400000, t=0.500000, t=0.600000, t=0.700000, t=0.800000, t=0.900000, 
0.1275, 1, 0.586728, 1.17727e-05, 3.47723e-18, 4.43171e-35, 1.28452e-54, 6.30872e-76, 1.66431e-98, 4.86468e-122, 2.55707e-146, 
0.1285, 1, 0.589249, 1.52726e-05, 5.84637e-18, 9.17355e-35, 3.15949e-54, 1.79782e-75, 5.39237e-98, 1.76606e-121, 1.02815e-145, 
0.1295, 1, 0.591477, 1.9722e-05, 9.77658e-18, 1.88778e-34, 7.72337e-54, 5.0906e-75, 1.73568e-97, 6.36863e-121, 4.10595e-145, 
0.1305, 1, 0.593439, 2.53523e-05, 1.62614e-17, 3.86221e-34, 1.87644e-53, 1.4323e-74, 5.55051e-97, 2.2814e-120, 1.62869e-144, 
0.1315, 1, 0.595162, 3.24439e-05, 2.69045e-17, 7.8563e-34, 4.53136e-53, 4.0047e-74, 1.76357e-96, 8.11886e-120, 6.41739e-144, 
0.1325, 1, 0.596669, 4.13352e-05, 4.42801e-17, 1.58899e-33, 1.0877e-52, 1.11275e-73, 5.56764e-96, 2.87048e-119, 2.51187e-143, 
0.1335, 1, 0.597984, 5.24326e-05, 7.24992e-17, 3.1957e-33, 2.59539e-52, 3.07287e-73, 1.74661e-95, 1.00833e-118, 9.76743e-143, 
0.1345, 1, 0.599127, 6.62216e-05, 1.18092e-16, 6.39114e-33, 6.15645e-52, 8.43393e-73, 5.4449e-95, 3.51935e-118, 3.77338e-142, 
0.1355, 1, 0.600117, 8.32791e-05, 1.91378e-16, 1.2711e-32, 1.45184e-51, 2.30081e-72, 1.68685e-94, 1.22056e-117, 1.44835e-141, 
0.1365, 1, 0.600973, 0.000104287, 3.08582e-16, 2.51416e-32, 3.40397e-51, 6.23904e-72, 5.19373e-94, 4.20648e-117, 5.52369e-141, 
0.1375, 1, 0.60171, 0.000130049, 4.95081e-16, 4.94585e-32, 7.93521e-51, 1.68176e-71, 1.58935e-93, 1.44065e-116, 2.09327e-140, 
0.1385, 1, 0.602343, 0.000161505, 7.90372e-16, 9.67706e-32, 1.83932e-50, 4.50656e-71, 4.83419e-93, 4.90349e-116, 7.88279e-140, 
0.1395, 1, 0.602885, 0.00019975, 1.25561e-15, 1.88331e-31, 4.23938e-50, 1.20055e-70, 1.46154e-92, 1.65875e-115, 2.94998e-139, 
0.1405, 1, 0.603348, 0.000246053, 1.98505e-15, 3.64586e-31, 9.71668e-50, 3.17973e-70, 4.3924e-92, 5.57705e-115, 1.09714e-138, 
